latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
22.31963,97.43432,347.24,0.39,0.59,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.32,4.51,D
22.34522,97.57758,326.85,0.38,0.59,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.69,1.73,D
22.35588,97.49812,336.7,0.39,0.59,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.23,2.62,D
22.36424,95.67101,337.65,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.9,3.92,D
22.36814,95.673,332.56,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.49,3.42,D
22.40471,95.78939,329.19,0.49,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.92,3.11,D
22.42735,97.42765,332.96,0.39,0.59,2026-01-16,601,N20,VIIRS,n,2.0NRT,298.38,2.65,D
22.42994,97.42577,330.42,0.39,0.59,2026-01-16,601,N20,VIIRS,n,2.0NRT,299.1,2.15,D
22.46168,95.65996,367.0,0.5,0.66,2026-01-16,601,N20,VIIRS,h,2.0NRT,295.68,6.47,D
22.46341,95.69443,330.61,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.99,2.98,D
22.46355,95.62739,333.38,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.83,4.58,D
22.46439,95.65723,347.84,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.12,7.51,D
22.46581,95.6237,328.42,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,297.09,3.33,D
22.47637,95.75053,333.01,0.49,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.9,3.52,D
22.47964,95.74757,338.42,0.49,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.04,3.49,D
22.48714,99.35501,338.54,0.58,0.52,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.54,13.6,D
22.50557,97.83904,335.76,0.36,0.58,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.45,3.39,D
22.53551,95.47074,330.6,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.97,1.97,D
22.53968,95.46982,328.76,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.39,2.35,D
22.54562,95.38039,327.17,0.52,0.67,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.48,3.85,D
22.55025,95.39987,330.29,0.52,0.67,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.75,2.37,D
22.56886,95.56887,352.41,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.0,8.26,D
22.57125,95.56792,352.88,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.58,8.4,D
22.57211,95.59792,331.84,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.56,2.87,D
22.57543,95.59737,328.78,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.88,4.92,D
22.60733,95.26431,328.56,0.53,0.67,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.86,3.45,D
22.60801,95.26247,336.85,0.53,0.67,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.34,4.99,D
22.61291,95.42422,336.43,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.68,6.73,D
22.61913,95.39674,330.03,0.52,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.69,3.26,D
22.62539,95.38802,332.6,0.52,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.79,1.61,D
22.62862,97.39918,367.0,0.39,0.59,2026-01-16,601,N20,VIIRS,h,2.0NRT,296.94,8.21,D
22.63069,95.2773,328.18,0.52,0.67,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.9,3.3,D
